order_book_id,2022/12/31,2023/6/30,2023/12/31,2024/6/30,2024/12/31,2025/6/30
1305,87.7836,94.3359,94.5637,85.6733,73.0928,77.5669
1306,68.2669,66.4711,43.5604,63.0237,47.6866,52.5027
1307,68.2669,66.4711,43.5604,63.0237,47.6866,52.5027
1309,9.775,8.9674,19.2595,14.293,15.498,11.3341
1311,7.2462,0.1424,2.9472,0,0,1.0597
1312,18.9374,23.1989,20.7354,20.8073,13.1794,14.6817
1313,65.5495,41.3805,62.6175,77.6939,50.6227,72.1203
1314,28.8298,29.23,31.1142,3.8425,5.3403,5.8043
1315,28.8298,29.23,31.1142,3.8425,5.3403,5.8043
1316,5.6566,6.0819,5.7063,6.6414,6.7058,7.2938
1318,20.9465,26.9231,51.5888,43.1256,52.5308,52.957
1319,32.9009,38.5929,42.4528,41.1508,47.8737,46.3092
1320,87.191,83.3484,75.1341,73.4887,66.7889,56.8527
1322,71.1721,80.6527,86.622,93.216,93.3632,93.4904
1323,60.7296,80.3707,84.9813,93.7162,93.0899,93.3257
1324,11.5842,22.2829,22.3424,21.3783,20.4332,46.747
1325,42.8795,38.1181,93.0982,70.2816,88.2412,74.6252
1326,42.8795,38.1181,93.0982,70.2816,88.2412,74.6252
1327,6.1753,12.1526,4.5326,3.9137,1.8671,10.1289
1328,6.1753,12.1526,4.5326,3.9137,1.8671,10.1289
1329,14.8359,0,0,0,0,0
1330,14.8359,0,0,0,0,0
1331,0.2337,0,0,0,0,0
1332,0.2337,0,0,0,0,0
1334,13.7124,10.4918,16.689,10.3602,10.3621,8.3943
1335,21.7117,22.7684,28.1494,25.1568,25.2522,28.6779
1336,10.8339,0,16.7476,31.2254,22.9909,36.4499
1337,10.8339,0,16.7476,31.2254,22.9909,36.4499
1338,5.6566,6.0819,5.7063,6.6414,6.7058,7.2938
1339,39.6178,41.4867,61.7288,59.7185,0,6.1863
1342,9.3611,9.402,7.1931,6.495,9.224,9.1253
1343,9.3611,9.402,7.1931,6.495,9.224,9.1253
1345,15.8772,12.9358,13.1983,9.6904,39.5295,32.8759
1347,15.8772,12.9358,13.1983,9.6904,39.5295,32.8759
